duration_sec,id
241,256
321,257
384,258
265,259
549,260
469,261
502,262
701,263
625,264
692,265
849,266
609,267
783,268
426,269
425,270
971,271
327,272
411,273
762,274
1377,275
675,276
503,277
748,278
482,279
456,280
645,281
404,282
1039,283
981,284
961,285
563,286
618,287
369,288
510,289
536,290
730,291
435,292
575,293
829,294
431,295
431,296
672,297
590,298
249,299
335,300
341,301
479,302
435,303
270,304
789,305
1108,306
1305,307
1136,308
505,309
635,310
1017,311
146,312
131,313
126,314
299,315
75,316
243,317
305,318
1162,319
1009,320
1043,321
1207,322
1256,323
964,324
1074,325
936,326
1015,327
552,328
472,329
519,330
515,331
661,332
632,333
704,334
485,335
788,336
1270,337
1098,338
232,339
248,340
263,341
225,342
161,343
644,344
393,345
336,346
337,347
567,348
567,349
936,350
589,351
582,352
962,353
188,354
257,355
595,356
425,357
522,358
496,359
134,360
607,361
529,362
413,363
427,364
528,365
496,366
791,367
276,368
270,369
229,370
415,371
422,372
387,373
461,374
365,375
354,376
925,377
983,378
766,379
907,380
651,381
719,382
815,383
305,384
204,385
204,386
269,387
303,388
214,389
362,390
268,391
329,392
312,393
929,394
906,395
944,396
337,397
476,398
610,399
418,400
487,401
743,402
258,403
209,404
282,405
240,406
221,407
193,408
325,409
225,410
224,411
188,412
282,413
308,414
162,415
331,416
206,417
268,418
270,419
957,420
361,421
459,422
282,423
254,424
337,425
471,426
413,427
419,428
318,429
863,430
1020,431
288,432
360,433
574,434
457,435
839,436
682,437
730,438
544,439
866,440
1217,441
833,442
941,443
660,444
883,445
926,446
822,447
642,448
623,449
636,450
627,451
1291,452
1418,453
572,454
755,455
635,456
704,457
1111,458
787,459
462,460
1082,461
591,462
719,463
726,464
1430,465
351,466
381,467
428,468
453,469
638,470
661,471
661,472
197,473
333,474
329,475
246,476
275,477
223,478
850,479
278,480
160,481
229,482
239,483
327,484
583,485
583,486
577,487
660,488
573,489
565,490
511,491
596,492
630,493
666,494
889,495
612,496
459,497
397,498
402,499
405,500
392,501
580,502
432,503
414,504
434,505
391,506
388,507
404,508
673,509
803,510
398,511
553,512
393,513
350,514
452,515
386,516
334,517
391,518
614,519
1084,520
1168,521
959,522
1164,523
299,524
292,525
333,526
478,527
363,528
355,529
427,530
515,531
370,532
767,533
632,534
637,535
1052,536
958,537
1023,538
1094,539
1003,540
865,541
922,542
835,543
1423,544
921,545
684,546
845,547
422,548
412,549
469,550
512,551
535,552
452,553
242,554
300,555
347,556
267,557
245,558
269,559
379,560
268,561
324,562
876,563
473,564
491,565
323,566
516,567
1304,568
528,569
646,570
833,571
474,572
376,573
982,574
1283,575
1215,576
566,577
938,578
225,579
184,580
230,581
175,582
249,583
180,584
108,585
606,586
935,587
871,588
528,589
100,590
207,591
388,592
294,593
558,594
493,595
291,596
369,597
328,598
359,599
600,600
421,601
510,602
291,603
308,604
332,605
267,606
320,607
262,608
374,609
415,610
489,611
416,612
409,613
446,614
446,615
404,616
463,617
633,618
731,619
802,620
470,621
735,622
416,623
747,624
877,625
1000,626
808,627
815,628
708,629
701,630
318,631
416,632
475,633
380,634
319,635
356,636
605,637
474,638
445,639
569,640
1279,641
257,642
1086,643
836,644
1053,645
826,646
1316,647
611,648
714,649
781,650
799,651
559,652
1020,653
793,654
861,655
1124,656
1174,657
1009,658
990,659
550,660
481,661
281,662
400,663
406,664
1133,665
979,666
903,667
944,668
858,669
957,670
1032,671
949,672
751,673
629,674
419,675
362,676
436,677
316,678
297,679
354,680
403,681
328,682
275,683
484,684
1107,685
1369,686
367,687
428,688
402,689
368,690
909,691
471,692
513,693
384,694
524,695
518,696
689,697
643,698
127,699
170,700
152,701
338,702
418,703
470,704
529,705
626,706
581,707
434,708
387,709
265,710
365,711
344,712
370,713
908,714
619,715
328,716
315,717
295,718
377,719
340,720
301,721
348,722
479,723
348,724
533,725
490,726
509,727
571,728
132,729
191,730
208,731
902,732
165,733
185,734
216,735
164,736
925,737
825,738
989,739
896,740
722,741
908,742
755,743
858,744
731,745
1014,746
1004,747
854,748
706,749
912,750
761,751
681,752
764,753
604,754
751,755
1315,756
468,757
365,758
549,759
178,760
185,761
815,762
594,763
481,764
652,765
483,766
719,767
600,768
510,769
594,770
1010,771
626,772
710,773
951,774
516,775
588,776
562,777
686,778
755,779
676,780
452,781
597,782
719,783
592,784
565,785
691,786
850,787
931,788
584,789
735,790
596,791
483,792
483,793
504,794
481,795
717,796
212,797
582,798
575,799
905,800
793,801
664,802
752,803
582,804
579,805
685,806
750,807
605,808
745,809
680,810
633,811
884,812
620,813
683,814
651,815
743,816
664,817
649,818
656,819
592,820
646,821
868,822
734,823
712,824
578,825
582,826
681,827
947,828
566,829
654,830
595,831
564,832
583,833
622,834
494,835
714,836
725,837
474,838
744,839
703,840
711,841
285,842
223,843
251,844
316,845
1159,846
481,847
269,848
421,849
485,850
628,851
678,852
646,853
710,854
1087,855
1196,856
1199,857
1235,858
769,859
1276,860
1219,861
1057,862
1258,863
1229,864
1187,865
528,866
481,867
552,868
403,869
564,870
566,871
595,872
652,873
626,874
692,875
387,876
489,877
509,878
488,879
439,880
507,881
367,882
544,883
443,884
434,885
394,886
381,887
678,888
593,889
745,890
359,891
466,892
877,893
383,894
389,895
1445,896
639,897
657,898
650,899
322,900
339,901
430,902
464,903
533,904
571,905
727,906
579,907
451,908
592,909
600,910
443,911
463,912
550,913
261,914
229,915
210,916
186,917
587,918
210,919
249,920
222,921
240,922
224,923
394,924
281,925
292,926
190,927
479,928
221,929
331,930
261,931
596,932
167,933
185,934
194,935
288,936
213,937
260,938
249,939
228,940
185,941
217,942
244,943
215,944
267,945
264,946
730,947
424,948
974,949
402,950
528,951
855,952
467,953
479,954
220,955
1282,956
724,957
888,958
833,959
414,960
643,961
455,962
516,963
403,964
686,965
708,966
1285,967
465,968
585,969
428,970
1008,971
430,972
479,973
814,974
507,975
477,976
522,977
482,978
726,979
727,980
675,981
479,982
642,983
472,984
575,985
327,986
486,987
1096,988
969,989
704,990
736,991
698,992
590,993
1134,994
622,995
676,996
628,997
417,998
575,999
